Name,Rating,Engine,EPA Class,Drivetrain,Body Style,Brake Type,Front Wheel Material,Rear Wheel Material,Suspension Type - Front,Suspension Type - Rear,Trans Type,Passenger Doors,Passenger Capacity,Base Curb Weight (lbs),Front Leg Room (in),Front Shoulder Room (in),Front Head Room (in),Wheelbase (in),"Track Width, Rear (in)","Height, Overall (in)","Length, Overall (in)","Track Width, Front (in)","Width, Max w/o mirrors (in)",SAE Net Horsepower ,Rear Brake Rotor Diam * Thickness (in),Front Brake Rotor Diam * Thickness (in),Front Wheel Size (in),Rear Wheel Size (in),Basic Miles/km,Basic Years,Corrosion Years,Drivetrain Years,Air Bag-Side Body-Rear,Air Bag-Side Head-Front,Air Bag-Side Head-Rear,Child Safety Rear Door Locks,Daytime Running Lights,Rollover Protection Bars,Fog Lamps,Parking Aid,Back-Up Camera
2021 Kia Niro,6,"Gas/Electric I-4, 1.6 L",Small Station Wagon,Front Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,6,4,5,3122,41.7,56,40.1,106.3,62.2,60.4,171.5,61.6,71.1,139,10.3,11,104,104,60000,5,5,10,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2021 Tesla Model 3,8,Electric,Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,4250,42.7,56.3,40.3,113.2,62.2,56.8,184.8,62.2,72.8,210,13.2,12.6,153,153,50000,4,12,8,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2020 Tesla Model S,8,Electric,Large Cars,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,4883,42.7,57.7,38.8,116.5,66.9,56.9,196,65.4,77.3,275,14.4,14,152,152,50000,4,12,8,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2021 Chevrolet Bolt EV,7,Electric,Small Station Wagon,Front Wheel Drive,4dr Car,Partially Regenerative Electro-Hydraulic,Aluminum,Aluminum,MacPherson Strut,Compound Crank (Torsion Beam),1,4,5,3563,41.6,54.6,39.7,102.4,59.1,62.8,164,59.1,69.5,200,10,11,127.5,127.5,36000,3,6,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2021 Ford Mustang Mach-E,9,Electric,Small Station Wagon,Rear Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,4727,43.3,57.6,40.4,117.5,63.4,64,186,63.5,70.1,290,11,13.4,144,144,36000,3,5,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2021 Volkswagen ID.4,7,Electric,Small SUV 2WD,Rear Wheel Drive,Sport Utility,Front Disc/Rear Drum,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,4665,41.1,57.5,41.1,108.9,61.6,64.4,180.5,62.5,72.9,201,11,13.4,160,180,50000,4,7,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2022 Honda Accord,7,"Gas/Electric I-4, 2.0 L",Large Cars,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3388,42.3,58.3,37.5,111.4,63.4,57.1,196.1,63,73.3,212,11.1,12.3,127.5,127.5,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2022 Toyota Camry,7,"Gas/Electric I-4, 2.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Steel,Steel,Strut,Multi-Link,1,4,5,3480,42.1,57.7,38.3,111.2,63.2,56.9,192.1,63,72.4,208,11.1,12,104,104,36000,3,5,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2022 Ford Mustang Mach-E,8,Electric,Small Station Wagon,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,4727,43.3,57.6,40.4,117.5,63.4,63.9,186,63.5,70.1,346,11,13.4,144,144,36000,3,5,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2021 Nissan Leaf,7,Electric,Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Steel,Steel,Strut,Torsion Beam,1,4,5,3538,42.1,54.3,41.2,106.3,61.2,61.4,176.4,60.6,70.5,147,11.5,11.1,104,104,36000,3,5,5,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2021 Toyota Mirai,7,Electric,Compact,Rear Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Torsion Beam,1,4,5,4335,42.2,58.4,38.4,114.9,63.1,57.9,195.8,63.3,74.2,182,11.4,11.6,152,152,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2022 Hyundai Ioniq,7,"Gas/Electric I-4, 1.6 L",Large Cars,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,6,4,5,2996,42.2,56.1,39.1,106.3,62.1,56.9,176,61.5,71.7,139,10.3,11,90,90,60000,5,7,10,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2022 Audi E-Tron,9,Electric,Standard SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,1,4,5,5721,40.8,58.6,38.1,115.3,64.5,65.5,193,64.7,76.2,355,13.8,15.7,199.5,199.5,50000,4,12,4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
2022 Jaguar I-Pace,9,Electric,Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,4784,40.9,57.6,39.9,117.7,64.9,61.3,184.3,64.1,74.6,394,12.8,13.8,160,160,60000,5,6,5,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2021 Tesla Model Y,7,Electric,Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,4555,41.8,56.4,41,113.8,64.4,63.9,187,64.4,75.6,154,13.2,14,180.5,180.5,50000,4,12,8,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2022 Toyota Avalon,7,"Gas/Electric I-4, 2.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3695,42.1,58.3,37.4,113,63.6,56.5,195.9,62.3,72.8,215,11.1,12,144,144,36000,3,5,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2022 Toyota Corolla,7,"Regular Unleaded I-4, 2.0 L",Compact,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,10,4,5,3110,42,54,38.3,106.3,61,55.9,182.5,60.3,70.1,169,10.2,10.8,144,144,36000,3,5,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2022 Honda Insight,6,"Gas/Electric I-4, 1.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3000,42.3,56.9,39.3,106.3,61.6,55.6,183.6,60.9,71.6,151,10.2,11.1,112,112,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2022 Toyota Prius,6,"Gas/Electric I-4, 1.8 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3010,42.3,55,39.4,106.3,60.6,57.9,180,60.2,69.3,121,10.2,10,97.5,97.5,36000,3,5,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2022 Chevrolet Malibu,5,"Turbocharged Gas I4, 1.5L",Midsize,Front Wheel Drive,4dr Car,Power,Aluminum,Aluminum,MacPherson Strut,4-Link,1,4,5,3135,41.5,58.5,39.1,111.4,62.5,57.9,194.2,62.6,73,160,11.3,11.8,120,120,36000,3,6,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2022 Toyota Highlander,7,"Gas/Electric I-4, 2.5 L",Standard SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,8,4465,42,59,41.2,112.2,65.4,68.1,194.9,65.3,76,243,13.3,13.3,144,144,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2021 Toyota Venza,7,"Gas/Electric I-4, 2.5 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3847,40.9,57.4,38.6,105.9,63.7,65.9,186.6,63,73,219,11.1,12,126,126,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2022 Ford Explorer,7,"Intercooled Turbo Premium Unleaded I-4, 2.3 L",Standard SUV 4WD,Four Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,10,4,7,4345,43,61.8,40.7,119.1,66.9,70.2,198.8,66.9,78.9,300,12.6,13.6,135,135,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2022 Honda CR-V,6,"Intercooled Turbo Regular Unleaded I-4, 1.5 L",Small SUV 2WD,Front Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3398,41.3,57.9,38,104.8,63.7,66.1,182.1,63,73,190,10.2,11.1,135,135,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2022 Mercedes-Benz E Class,8,"Intercooled Turbo Gas/Electric I-6, 3.0 L",Subcompact Car,All Wheel Drive,Convertible,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,9,2,4,4566,41.3,56.1,40.7,113.1,62.8,56.2,190.6,64.1,73.2,429,14.2,14.6,152,171,50000,4,4,4,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
2021 BMW 3-Series,8,"Intercooled Turbo Gas/Electric I-4, 2.0 L",Compact,Rear Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,8,4,5,4039,42,56,38.7,112.2,61.8,56.9,185.7,62.2,71.9,288,14.5,14.7,135,135,50000,4,12,4,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2021 BMW 7-Series,8,"Intercooled Turbo Premium Unleaded I-6, 3.0 L",Large Cars,Rear Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,8,4,5,4244,41.4,59.2,39.9,126.4,64.6,58.2,207.4,63.4,74.9,335,14.5,14.7,144,144,50000,4,12,4,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2021 Volvo S90,8,"Turbo/Supercharger Gas/Electric I-4, 2.0 L",Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,8,4,5,4673,42.2,57.5,37.8,120.5,63.7,57.1,200.4,63.7,74.6,400,12.6,13.6,161.5,161.5,50000,4,12,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2021 Lexus LS,7,"Twin Turbo Premium Unleaded V-6, 3.5 L",Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,10,4,5,4905,41,58.8,37.3,123,64.3,57.5,206.1,64.3,74.8,416,13.1,14,152,152,50000,4,6,6,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2022 Lexus ES,7,"Regular Unleaded I-4, 2.5 L",Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,8,4,5,3780,42.4,55.9,37.5,113,63.4,56.9,195.9,62.9,73.4,203,11.1,12,127.5,127.5,50000,4,6,6,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2021 Audi A8,7,"Intercooled Turbo Gas/Electric V-6, 3.0 L",Large Cars,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,8,4,5,4773,41.5,59.1,38.3,123.2,64.3,58.6,208.7,64.7,76.6,335,13.8,14.8,171,171,50000,4,12,4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2021 BMW 5-Series,7,"Intercooled Turbo Gas/Electric I-4, 2.0 L",Compact,Rear Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,8,4,5,4222,41.4,58.7,38.8,117.1,64.2,58.4,195.8,63.1,73.5,288,14.5,14.7,144,144,50000,4,12,4,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2021 Mercedes-Benz AMG GT,7,"Intercooled Turbo Gas/Electric I-6, 3.0 L",Compact,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,9,4,4,4530,41.7,57.8,40.8,116.2,65.6,57.3,199.2,65.9,76.9,362,14.2,14.2,180.5,209,50000,4,4,4,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2021 Acura NSX,7,"Twin Turbo Gas/Electric V-6, 3.5 L",Two Seaters,All Wheel Drive,2dr Car,4-Wheel Disc,Forged Aluminum,Forged Aluminum,Double Wishbone,Multi-Link,9,2,2,3878,42.9,57.7,38.3,103.5,63.7,47.8,176.1,65.2,76.3,573,14.2,14.5,161.5,220,50000,4,5,6,No,Yes,No,No,Yes,No,No,Yes,Yes
2021 Lexus LC,7,"Premium Unleaded V-8, 5.0 L",Minicompact,Rear Wheel Drive,Convertible,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,10,2,4,4540,42.6,56.6,36.7,113,64.4,53.2,187.4,64.2,75.6,471,14.1,15.7,170,190,50000,4,6,6,No,No,No,No,Yes,Yes,No,Yes,Yes
2022 Land Rover Range Rover,8,"Intercooled Supercharger Premium Unleaded V-8, 5.0 L",Small SUV 4WD,Four Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,8,4,5,5404,39.1,60.9,39.5,122.9,66.3,73.5,207.4,66.6,78.1,518,14.4,15,199.5,199.5,50000,4,6,4,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2021 Land Rover Range Rover Sport,8,"Intercooled Turbo Gas/Electric I-4, 2.0 L",Small SUV 4WD,Four Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,8,4,5,5448,39.5,60.7,38.7,115.1,66.3,71,192.1,66.7,81.6,398,14.4,15,199.5,199.5,50000,4,6,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2022 Lincoln Aviator,7,"Twin Turbo Premium Unleaded V-6, 3.0 L",Standard SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,10,4,6,4892,43,61.5,40.2,119.1,66.9,69.6,199.3,66.9,82.3,400,13.8,13.6,220,220,50000,4,5,6,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2021 Mercedes-Benz GLE Class,7,"Intercooled Turbo Gas/Electric I-6, 3.0 L",Standard SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,9,4,5,4751,40.3,59.3,40.2,115.6,67.9,67.6,195.3,66.2,79.3,429,13.6,15.8,210,231,50000,4,4,4,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2022 Lincoln Corsair,7,"Gas/Electric I-4, 2.5 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,4398,43.2,57.1,39.5,106.7,63.4,64.1,180.6,62.6,74.3,266,11,13.4,161.5,161.5,50000,4,5,6,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2021 Land Rover Range Rover Evoque,7,"Intercooled Turbo Premium Unleaded I-4, 2.0 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,9,4,5,3935,40,56.6,38.9,105.6,64.2,64.9,172.1,64,75,246,12.8,13.7,160,160,50000,4,6,4,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2021 Land Rover Defender,7,"Intercooled Turbo Premium Unleaded I-4, 2.0 L",Small SUV 4WD,Four Wheel Drive,Sport Utility,4-Wheel Disc,Steel,Steel,Short And Long Arm,Multi-Link,8,4,5,4815,39.1,60.8,40.6,119,66.9,77.4,197.6,67.1,79.1,296,12.8,13.7,144,144,50000,4,6,4,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2021 Lexus RX,6,"Regular Unleaded V-6, 3.5 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Double Wishbone,8,4,5,4387,44.1,57.8,39.4,109.8,64,67.7,192.5,64.4,74.6,295,13.3,12.9,144,144,50000,4,6,6,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2021 Lexus UX,6,"Premium Unleaded I-4, 2.0 L",Midsize,Front Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,10,4,5,3307,42.1,55.1,36.5,103.9,61,60.6,177,61,72.4,169,11.1,12,126,126,50000,4,6,6,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2021 Land Rover Discovery Sport,6,"Intercooled Turbo Premium Unleaded I-4, 2.0 L",Small SUV 4WD,Four Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,9,4,5,4035,39.1,57.3,39.5,107.9,64.3,68,181,64,75,246,12.8,13.7,144,144,50000,4,6,4,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2020 Chevrolet Bolt EV,7,Electric,Small Station Wagon,Front Wheel Drive,4dr Car,Partially Regenerative Electro-Hydraulic,Aluminum,Aluminum,MacPherson Strut,Compound Crank (Torsion Beam),1,4,5,3563,41.6,54.6,39.7,102.4,59.1,62.8,164,59.1,69.5,200,10,11,127.5,127.5,36000,3,6,5,No,Yes,No,Yes,Yes,No,No,No,Yes
2020 Hyundai Ioniq,7,Electric,Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Torsion Beam,1,4,5,3488,42.2,56.1,38.2,106.3,61.6,58.1,176,61.2,71.7,134,11.2,11,104,104,60000,5,7,10,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2020 Kia Soul,6,"Regular Unleaded I-4, 2.0 L",Small Station Wagon,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Torsion Beam,1,4,5,2844,41.1,55.5,39.4,102.4,62.4,63,165.2,62,70.9,147,10.3,11,110.5,110.5,60000,5,5,10,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2020 Nissan Leaf,7,Electric,Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Steel,Steel,Strut,Torsion Beam,1,4,5,3538,42.1,54.3,41.2,106.3,61.2,61.4,176.4,60.6,70.5,147,11.5,11.1,104,104,36000,3,5,5,Yes,Yes,Yes,Yes,No,No,No,No,Yes
2020 Tesla Model 3,8,Electric,Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,4031,42.7,56.3,40.3,113.2,62.2,56.8,184.8,62.2,72.8,210,13.2,12.6,153,153,50000,4,12,8,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2020 Tesla Model Y,7,Electric,Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,4416,41.8,56.4,41,113.8,64.4,63.9,187,64.4,75.6,154,13.2,14,180.5,180.5,50000,4,12,8,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2020 Toyota Mirai,5,Electric,Subcompact Car,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Torsion Beam,1,4,4,4075,42.5,54.3,38.5,109.4,61,60.5,192.5,60.5,71.5,151,11.4,11.6,119,119,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2019 Audi E-Tron,9,Electric,Standard SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,1,4,5,5754,40.8,58.6,39.8,115.3,65.2,65.5,193,65.2,76.3,355,13.8,15.7,180,180,50000,4,12,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2019 BMW i3,6,Electric,Subcompact Car,Rear Wheel Drive,4dr Car,4-Wheel Disc,Forged Aluminum,Forged Aluminum,Strut,Multi-Link,1,4,4,2972,40.5,53.6,39.6,101.2,62,62.9,158.3,61.9,69.9,170,11,11,95,104.5,50000,4,12,4,No,Yes,Yes,No,Yes,No,No,Yes,Yes
2019 Chevrolet Bolt EV,7,Electric,Small Station Wagon,Front Wheel Drive,4dr Car,Partially Regenerative,Aluminum,Aluminum,MacPherson Strut,Compound Crank (Torsion Beam),1,4,5,3563,41.6,54.6,39.7,102.4,59.1,62.8,164,59.1,69.5,200,10,11,127.5,127.5,36000,3,6,5,No,Yes,No,Yes,Yes,No,No,No,Yes
2019 FIAT 500e,5,Electric,Minicompact,Front Wheel Drive,2dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Torsion Beam,1,2,4,2980,40.7,49.4,38.9,90.6,55,60.1,142.4,55.4,64.1,111,9.4,11,82.5,97.5,50000,4,12,4,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2019 Honda Clarity,6,Electric,Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,4024,42.2,59.7,39.1,108.3,62.5,58.2,192.7,62.2,73.9,161,12.2,12.3,144,144,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2019 Hyundai Ioniq,6,Electric,Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Torsion Beam,1,4,5,3164,42.2,56.1,39.1,106.3,61.6,57.1,176,61.2,71.7,118,11.2,11,104,104,60000,5,7,10,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2019 Jaguar I-Pace,9,Electric,Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,4784,40.9,57.6,39.9,117.7,64.9,61.3,184.3,64.1,74.6,394,12.8,13.8,160,160,60000,5,6,5,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2019 Kia Niro,6,"Gas/Electric I-4, 1.6 L",Small Station Wagon,Front Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,6,4,5,3199,41.7,56,40.1,106.3,62.2,60.4,171.5,61.6,71.1,139,10.3,11,104,104,60000,5,5,10,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2019 Nissan Leaf,7,Electric,Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Steel,Steel,Strut,Torsion Beam,1,4,5,3433,42.1,54.3,41.2,106.3,61.2,61.4,176.4,60.6,70.5,147,11.5,11.1,104,104,36000,3,5,5,No,Yes,Yes,Yes,No,No,No,No,Yes
2019 Tesla Model 3,7,Electric,Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,4072,42.7,56.3,40.3,113.2,62.2,56.8,184.8,62.2,72.8,210,13.2,12.6,153,153,50000,4,12,8,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2019 Tesla Model X,8,Electric,Standard SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,5421,41.2,60.7,41.7,116.7,67.3,66,198.3,67.1,78.7,268,14.4,14,180,190,50000,4,12,8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2019 Tesla Model S,8,Electric,Large Cars,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,4883,42.7,57.7,38.8,116.5,66.9,56.5,196,65.4,77.3,275,14.4,14,152,152,50000,4,12,8,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2019 Toyota Mirai,5,Electric,Subcompact Car,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Torsion Beam,1,4,4,4075,42.5,54.3,38.5,109.4,61,60.5,192.5,60.5,71.5,151,11.4,11.6,119,119,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2018 Audi A3,7,"Intercooled Turbo Premium Unleaded I-4, 2.0 L",Subcompact Car,Front Wheel Drive,Convertible,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,7,2,4,3428,41.2,54.8,37.4,102.2,60.1,55.5,174.1,61.2,70.7,186,10.7,12.3,127.5,127.5,50000,4,12,4,No,No,No,Yes,Yes,Yes,No,No,Yes
2018 BMW i3,7,Electric,Subcompact Car,Rear Wheel Drive,4dr Car,4-Wheel Disc,Forged Aluminum,Forged Aluminum,Strut,Multi-Link,1,4,4,2961,40.5,53.6,39.6,101.2,61.3,62.9,158.3,61.9,69.9,170,11,11,95,104.5,50000,4,12,4,No,Yes,Yes,No,Yes,No,No,No,Yes
2018 Chevrolet Bolt EV,7,Electric,Small Station Wagon,Front Wheel Drive,4dr Car,Regenerative,Aluminum,Aluminum,Independent,Semi-independent,1,4,5,3563,41.6,54.6,39.7,102.4,59.1,62.8,164,59.1,69.5,200,10,11,127.5,127.5,36000,3,6,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
